CLIENTE_ID,CLIENTE_NOME,EQUIPAMENTO_ID,TOMBO,EQUIPAMENTO_NOME,SITUACAO,ORGAO_CLIENTE,DATA_LOCACAO,CONTRATO,ITEM_DO_CONTRATO,DESCRICAO_ITEM,QUANTIDADE_ITEM_NO_CONTRATO,ID_EVENTO,TIPO_EQUIPAMENTO,CONTRACT_ID
11190,MINISTÉRIO DE RELAÇÕES EXTERIORES - SP,,55057,MULTIFUNCIONAL JATO DE TINTA CANON G4110 NS KLPF57877,Alugado,AS SISTEMAS,31/01/2025,ESCRITORIO DE REPRESENTAÇÃO DO MINISTÉRIO DAS RELAÇÕES EXTERIORES,Outsourcing de Impressão - Locação de Equipamento JATO DE TINTA,Canon G4110,2,707,,256
11190,MINISTÉRIO DE RELAÇÕES EXTERIORES - SP,,54819,MULTIFUNCIONAL JATO DE TINTA CANON G4110 NS KLPF58085,Alugado,AS SISTEMAS,31/01/2025,ESCRITORIO DE REPRESENTAÇÃO DO MINISTÉRIO DAS RELAÇÕES EXTERIORES,Outsourcing de Impressão - Locação de Equipamento JATO DE TINTA,Canon G4110,2,707,,256
11190,MINISTÉRIO DE RELAÇÕES EXTERIORES - SP,,64067,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q3300015,Alugado,AS SISTEMAS,31/01/2025,ESCRITORIO DE REPRESENTAÇÃO DO MINISTÉRIO DAS RELAÇÕES EXTERIORES,Outsourcing de Impressão - Locação de Equipamento COLOR,Kyocera ECOSYS_MA3500cix,1,707,,256
11190,MINISTÉRIO DE RELAÇÕES EXTERIORES - SP,,62815,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS M2640IDW NS VRA3735424,Alugado,AS SISTEMAS,31/01/2025,ESCRITORIO DE REPRESENTAÇÃO DO MINISTÉRIO DAS RELAÇÕES EXTERIORES,Outsourcing de Impressão - Locação de Equipamento MONO,Kyocera ECOSYS_M2640idw,1,707,,256
11623,P M  DE URUOCA - ADMINISTRAÇÃO,,69719,TRANSFORMADOR 2000VA FORCELINE,Alugado,,12/09/2025,,,,,,,
11623,P M  DE URUOCA - ADMINISTRAÇÃO,,83887,MULTIFUNCIONAL LASER MONO PANTUM BM5110ADW NS CR7RV0011P,Alugado,AS SISTEMAS,12/09/2025,PREFEITURA MUNICIPAL DE URUOCA - GESTÃO DE CONTRATO,Outsourcing de Impressão P&B,PANTUM BM5100FDW,2,712,,259
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,83900,TRANSFORMADOR 2000VA FORCELINE,Alugado,,01/09/2025,,,,,,,
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,83896,TRANSFORMADOR 2000VA FORCELINE,Alugado,,19/08/2025,,,,,,,
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,83894,TRANSFORMADOR 2000VA FORCELINE,Alugado,,19/08/2025,,,,,,,
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,83893,TRANSFORMADOR 2000VA FORCELINE,Alugado,,19/08/2025,,,,,,,
11583,"PM DE URUOCA - ""SEC. MUNICIPAL DA EDUCAÇÃO - FUNDEB",,83884,MULTIFUNCIONAL LASER MONO PANTUM BM5110ADW NS CR7RV0011U,Alugado,AS SISTEMAS,26/09/2025,GOVERNO MUNICIPAL DE URUOCA - FUNDEB- FUNDO DES.DA EDUCACAO BASICA E VAL MAGIST,Outsourcing de Impressão P&B,PANTUM BM5100FDW,6,708,,257
