e_id,tombo,id_legado,status_legado,id_banco_novo_errado,status_banco_novo_errado,id_corrigido,status_corrigido
14410,14410,7,LIBERADO P/ LOCACAO,8,EM DEVOLUÇÃO,1,DISPONÍVEL PARA LOCAÇÃO
20691,20691,7,LIBERADO P/ LOCACAO,8,EM DEVOLUÇÃO,1,DISPONÍVEL PARA LOCAÇÃO
55351,46300,7,LIBERADO P/ LOCACAO,8,EM DEVOLUÇÃO,1,DISPONÍVEL PARA LOCAÇÃO
55352,46301,7,LIBERADO P/ LOCACAO,8,EM DEVOLUÇÃO,1,DISPONÍVEL PARA LOCAÇÃO
55723,46858,7,LIBERADO P/ LOCACAO,8,EM DEVOLUÇÃO,1,DISPONÍVEL PARA LOCAÇÃO
56014,47171,7,LIBERADO P/ LOCACAO,8,EM DEVOLUÇÃO,1,DISPONÍVEL PARA LOCAÇÃO
80943,51205,7,LIBERADO P/ LOCACAO,8,EM DEVOLUÇÃO,1,DISPONÍVEL PARA LOCAÇÃO
81619,51315,7,LIBERADO P/ LOCACAO,8,EM DEVOLUÇÃO,1,DISPONÍVEL PARA LOCAÇÃO
82658,51323,7,LIBERADO P/ LOCACAO,8,EM DEVOLUÇÃO,1,DISPONÍVEL PARA LOCAÇÃO
118759,54635,7,LIBERADO P/ LOCACAO,8,EM DEVOLUÇÃO,1,DISPONÍVEL PARA LOCAÇÃO
126760,62854,15,RESERVADO,8,EM DEVOLUÇÃO,3,RESERVADO
130454,66596,7,LIBERADO P/ LOCACAO,8,EM DEVOLUÇÃO,1,DISPONÍVEL PARA LOCAÇÃO
134226,71556,15,RESERVADO,8,EM DEVOLUÇÃO,3,RESERVADO
136263,74788,15,RESERVADO,8,EM DEVOLUÇÃO,3,RESERVADO
140669,55451,7,LIBERADO P/ LOCACAO,3,RESERVADO,1,DISPONÍVEL PARA LOCAÇÃO
144838,80998,7,LIBERADO P/ LOCACAO,8,EM DEVOLUÇÃO,1,DISPONÍVEL PARA LOCAÇÃO
145912,69556,15,RESERVADO,8,EM DEVOLUÇÃO,3,RESERVADO
146149,69830,15,RESERVADO,8,EM DEVOLUÇÃO,3,RESERVADO
146686,69906,15,RESERVADO,8,EM DEVOLUÇÃO,3,RESERVADO
152936,88717,15,RESERVADO,8,EM DEVOLUÇÃO,3,RESERVADO
