alias,name,cpf_cnpj,phone,email,addressable_type,addressable_id,alias_address,zip,street,number,details,district,city,state,country
3I,3I IMPORTAÇÃO E EXPORTAÇÃO LTDA,20.783.843/0002-08,5199443715,SOCIETARIO@G4CONTABILIDADE.COM.BR,supplier,,,88905398,RUA CAVERAZINHO,150,PAVLH 03 04 05 FUNDOS,URUSSANGUINHA,ARARANGUÁ,SC,BRASIL
A R COM DE BOLSAS ATACADO E VAREJO LTDA,A R COM DE BOLSAS ATACADO E VAREJO LTDA,57.279.151/0001-48,1193528569,ARCOMDEBOLSAS123@OUTLOOK.COM,supplier,,,3031010,RUA VITOR HUGO,1219,SALA 21,CANINDÉ,SÃO PAULO,SP,BRASIL
ASS COMERCIO DE PAPEIS E PRODUTOS DIVERSOS LTDA,A. S. SANTOS LTDA,40.659.783/0001-34,4196869828,MEUCNPJ@CONTABILIZEI.COM.BR,supplier,,,5892360,AVENIDA DOM RODRIGO SANCHES,761,,JARDIM AMALIA,SÃO PAULO,SP,BRASIL
A.C.J. IMPORTACAO E EXPORTACAO DE EQUIPAMENTOS PARA INFORMATICA LTDA,A.C.J. IMPORTACAO E EXPORTACAO DE EQUIPAMENTOS PARA INFORMATICA LTDA,18.167.855/0002-58,1937445500,CARLOS@RECYCLEWARE.COM.BR,supplier,,,88305230,RUA ALBINO GUGELMIN,199,SALA 209,BARRA DO RIO,ITAJAÍ,SC,BRASIL
ACBZ IMPORTACAO E COMERCIO LTDA,ACBZ IMPORTACAO E COMERCIO LTDA,09.509.531/0009-36,1140828888,DEPTO_FISCAL@ACBZ.COM.BR,supplier,,,7789100,VIA AC NORTE KM 38,420,GALPAO01 BLOCO 06 SALA 03 - RETAIL,EMPRESARIAL GATO PRETO (JORDANESIA),CAJAMAR,SP,BRASIL
ACF COMERCIO ELETRONICO LTDA,ACF COMERCIO ELETRONICO LTDA,26.075.412/0001-84,2733465300,CARLOS@ACFSTORE.COM.BR,supplier,,,29140080,AVENIDA ESPIRITO SANTO,107,SALA 2,JARDIM AMERICA,CARIACICA,ES,BRASIL
ACTOS COMERCIO IMPORTACAO E EXPORTACAO LTDA,ACTOS COMERCIO IMPORTACAO E EXPORTACAO LTDA,01.998.069/0003-80,8532595665,,supplier,,,60864311,AVENIDA DEPUTADO PAULINO ROCHA,1751,,CAJAZEIRAS,FORTALEZA,CE,BRASIL
AFI,AFI COMERCIAL LTDA,52.086.749/0001-05,1112563080,CONTATO@AFICOMERCIAL.COM.BR,supplier,,,9541350,RUA FLORIANO PEIXOTO,38,,SANTA PAULA,SÃO CAETANO DO SUL,SP,BRASIL
AGIS,AGIS EQUIPAMENTOS E SERVICOS DE INFORMATICA LTDA.,68.993.641/0008-02,2737564600,ALEXANDRA.VIANA@AGIS.COM.BR,supplier,,,29169832,RODOVIA GOVERNADOR MARIO COVAS,SN,SALA 21 MODULOS 02 E 03 KM 263 LADO IMPAR,PITANGA,SERRA,ES,BRASIL
AGIS,AGIS EQUIPAMENTOS E SERVICOS DE INFORMATICA LTDA.,68.993.641/0001-28 ,1937594592,ALEXANDRA.VIANA@AGIS.COM.BR,supplier,,,6714285,RUA PHILIP LEINER,100,SALA 37 MODULO 01 E 02,PARQUE ALEXANDRE,COTIA,SP,BRASIL
