id,name,is_kit,created_at,updated_at,deleted_at
1,ESTABILIZADOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
2,FONTE DE IMPRESSORA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
3,MONITOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
4,WEBCAM,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
5,PROJETOR,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
6,IMPRESSORA JATO DE TINTA COLOR,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
7,MULTIFUNCIONAL LASER MONO,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
8,MULTIFUNCIONAL JATO DE TINTA COLOR,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
9,HUB USB,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
10,ORGANIZADOR DE FILA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
11,SCANNER,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
12,SWITCH,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
13,IMPRESSORA MATRICIAL,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
14,MICRO,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
15,NOTEBOOK,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
16,MULTIFUNCIONAL LASER COLOR,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
17,MAQUINA P/ ILHOS,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
18,DETECTOR DE METAL,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
19,IMPRESSORA LASER MONO,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
20,TESTADOR DE CABO DE REDE,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
21,PEDESTAL P/ BANNER,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
22,MODULO ISOLADOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
23,MICROFONE,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
24,FOGAO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
25,LEITOR DE CODIGO DE BARRAS,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
26,TRANSFORMADOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
27,BASE P/ RADIO COMUNICADOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
28,FONTE DE RADIO COMUNICADOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
29,NOBREAK,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
30,ROTEADOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
31,ASPIRADOR DE PO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
32,DIVISOR DE SINAL,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
33,CAIXA DE SOM,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
34,IMPRESSORA TERMICA,0,2026-06-26 08:34:49,2026-06-26 08:34:49,
35,RADIO COMUNICADOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
36,APARELHO DE DVD,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
37,TELAO,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
38,SERVIDOR,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
39,CAMERA DE SEGURANÇA,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
40,VIDEO CASSETE,1,2026-06-26 08:34:49,2026-06-26 08:34:49,
