TOMBO,EQUIPAMENTO_CSV,ID_CLIENTE_LEGADO,ID_CLIENTE_NOVO,CONTRACT_ID_CSV,CONTRATO_RESOLVIDO,ITEM_CSV,DESC_ITEM_CSV,ITEM_RESOLVIDO_ID,STATUS_FINAL,MOTIVO_EXATO
21450,TRANSFORMADOR DE 1500 W EXTREMO,2570,463,102,102,NOTEBOOK TIPO II,VAZIO,1221,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
33512,ESTABILIZADOR 300 VA FORCELINE,2570,463,102,102,NOTEBOOK TIPO II,VAZIO,1221,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
39347,TV BOX MXQ PRO 4K  NS A82006BFB00E,2570,463,102,102,NOTEBOOK TIPO II,VAZIO,1221,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
80315,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS MA5500IFX NS WDS3X14287,11079,44,12,12,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,36,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
80317,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS MA5500IFX NS WDS3X114038,11079,44,12,12,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,36,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
80318,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS MA5500IFX NS WDS3X14107,11079,44,12,12,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,36,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
80319,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS MA5500IFX NS WDS3X14036,11079,44,12,12,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,36,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
80320,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS MA5500IFX NS WDS3X13918,11079,44,12,12,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,36,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
80321,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS MA5500IFX NS WDS3X14083,11079,44,12,12,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,36,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
80316,MULTIFUNCIONAL LASER COLORIDA KYOCERA ECOSYS MA3500CIX NS H7Q4400574,11079,44,12,12,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,36,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
79987,MULTIFUNCIONAL EPSON MONO WORKFORCE PRO WF-M5899 NS XC75010197,11053,46,16,16,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,43,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
79775,MULTIFUNCIONAL EPSON COLOR WORKFORCE PRO WF-C5890 NS XBJZ021960,11053,46,16,16,IMPRESSORA POLICROMÁTICO  –  PÁGINAS – A4,VAZIO,44,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
79847,MULTIFUNCIONAL EPSON MONO WORKFORCE PRO WF-M5899 NS XC75010218,11053,46,16,16,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,43,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
79871,MULTIFUNCIONAL MONO EPSON WORKFORCE PRO WF-M5899 NS XC75010274,11192,28,18,18,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,51,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
82289,MULTIFUNCIONAL LASER COLOR A3 KYOCERA TASKALFA 3554CI NS H5S4600182,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81333,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901495,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81345,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901509,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81350,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901481,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81351,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901483,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81336,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901512,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81332,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901543,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81339,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901493,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81343,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901489,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
82069,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901505,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81338,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901499,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81342,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901615,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81340,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901552,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
82009,MESA PARA IMPRESSORA,11292,54,26,26,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,65,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
82011,MESA PARA IMPRESSORA,11292,54,26,26,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,65,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81337,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901542,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81272,MESA PARA IMPRESSORA,11292,54,26,26,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,65,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81632,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS MA5500IFX NS WDS4940103,11292,54,26,26,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,65,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81597,MULTIFUNCIONAL LASER COLOR A3 KYOCERA TASKALFA 3554CI NS H5S4700204,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81603,MULTIFUNCIONAL LASER COLOR A3 KYOCERA TASKALFA 3554CI NS H5S4700205,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81598,MULTIFUNCIONAL LASER COLOR A3 KYOCERA TASKALFA 3554CI NS H5S4700193,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81600,MULTIFUNCIONAL LASER COLOR A3 KYOCERA TASKALFA 3554CI NS H5S4700200,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81604,MULTIFUNCIONAL LASER COLOR A3 KYOCERA TASKALFA 3554CI NS H5S4700210,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81599,MULTIFUNCIONAL LASER COLOR A3 KYOCERA TASKALFA 3554CI NS H5S4700203,11292,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81346,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901513,11293,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81347,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901545,11293,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81348,MULTIFUNCIONAL LASER COLOR KYOCERA ECOSYS MA3500CIX NS H7Q4901542,11293,54,26,26,IMPRESSORA POLICROMÁTICO/ MONOCROMATICA  –  PÁGINAS – A3,VAZIO,67,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
82066,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS MA5500IF NS WDS4X45429,11293,54,26,26,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,65,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
81637,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS MA5500IFX NS WDS4939482,11293,54,26,26,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,65,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
82065,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS MA5500IFX NS WDS4939295,11293,54,26,26,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,65,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
82064,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS MA5500IFX NS WDS4939465,11293,54,26,26,IMPRESSORA MONOCROMÁTICO –  PÁGINAS A4,VAZIO,65,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58843,GABINETE MOVEL PARA IMPRESSORAS E MAQUINAS MULTIFUNCIONAIS S/N,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58760,MULTIFUNCIONAL LASER MONO KYOCERA ECOSYS P3145DN NS R4H3541992,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58675,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58676,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58678,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58683,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58391,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58394,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58397,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58399,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58705,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58706,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58714,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
58716,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
54506,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
54495,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
54482,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
54488,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
54490,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
59638,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
59673,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
59722,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
59540,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
59561,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
59564,TRANSFORMADOR 2000 VA SLIM PREMIUM,10674,194,260,260,Outsourcing de Impressão P&B,VAZIO,2504,EXCEDENTE (IS_EXCHANGE),Item de contrato atrelado está com saldo zerado/negativo. Regra do EXCEDENTE aplicada.
